acceder_crossref,
administracion,
archivos_ver,
busquedas_ver,
crear_busqueda_revision,
crossref_acceder,
documentos_canonicos_editar,
documentos_canonicos_ver,
editar_documentos_canonicos,
editar_grupos,
editar_roles,
editar_usuarios,
grupos_editar,
ingreso,
mensajes_ver,
primera_revision_ver,
referencias_editar,
revisiones_administrar,
revisiones_editar,
revision_analizar_propia,
revision_editar,
revision_editar_propia,
revision_referencias_ver,
revision_texto_completo_ver,
revision_titulo_resumen_ver,
rs_campos_ver,
scopus_acceder,
tags_ver,
ver_revisiones,
ver_usuarios,
